id,name,slug,is_active,is_listed,is_redistributable,first_historical_data,last_historical_data
1536,Maiar Exchange,maiar-exchange,1,0,1,2022-01-03T07:40:00.000Z,2023-11-08T04:05:00.000Z
1539,PowerTrade,powertrade,1,0,1,2022-08-24T09:50:00.000Z,2023-11-08T04:05:00.000Z
1540,SushiSwap (Celo),sushiswap-celo,1,0,0,2021-12-15T19:45:00.000Z,2023-11-08T04:05:00.000Z
1541,Beethoven X (Fantom),beethovenx,1,0,0,2021-12-28T16:40:00.000Z,2023-11-08T04:05:00.000Z
1542,Firebird Finance (Polygon),firebird-finance-polygon,1,0,0,2022-03-17T07:50:00.000Z,2023-11-08T04:05:00.000Z
1543,Katana,katana,1,0,1,2022-01-10T14:35:00.000Z,2023-11-08T04:05:00.000Z
1544,OolongSwap,oolongswap,1,0,0,2021-12-09T20:35:00.000Z,2023-11-08T04:05:00.000Z
1545,Morpheus Swap,morpheus-swap,1,0,0,2022-04-29T18:10:00.000Z,2023-11-08T04:05:00.000Z
1546,Jetswap (Fantom),jetswap-fantom,1,0,1,2022-02-23T04:40:00.000Z,2023-11-08T04:05:00.000Z
1547,CronaSwap,cronaswap,1,0,0,2021-12-08T07:45:00.000Z,2023-11-08T04:05:00.000Z
1548,WingSwap,wingswap,1,0,1,2022-03-17T13:50:00.000Z,2023-11-08T04:05:00.000Z
1551,Helix,injective-protocol,1,0,0,2022-02-15T10:40:00.000Z,2023-11-08T04:05:00.000Z
1554,Yoshi Exchange (Fantom),yoshi-exchange,1,0,0,2022-03-31T04:35:00.000Z,2023-11-08T04:05:00.000Z
1560,Kine Protocol (Polygon),kine-protocol-polygon,1,0,0,2022-01-26T13:15:00.000Z,2023-11-08T04:05:00.000Z
1561,Bit2Me Pro,bit2me,1,0,0,2022-01-10T14:25:00.000Z,2023-11-08T04:05:00.000Z
1565,Balancer v2 (Polygon),balancer-v2-polygon,1,0,1,2022-01-10T13:50:00.000Z,2023-11-08T04:05:00.000Z
1566,Balancer v2 (Arbitrum),balancer-v2-arbitrum,1,0,1,2022-01-10T13:35:00.000Z,2023-11-08T04:05:00.000Z
1567,Uniswap v3 (Polygon),uniswap-v3-polygon,1,0,1,2022-01-10T13:40:00.000Z,2023-11-08T04:05:00.000Z
1568,Symmetric (Celo),symmetric-celo,1,0,0,2022-04-21T13:45:00.000Z,2023-11-08T04:05:00.000Z
1569,Tinyman,tinyman,1,0,1,2022-02-09T07:35:00.000Z,2023-11-08T04:05:00.000Z
1570,Netswap,netswap,1,0,0,2022-03-23T23:40:00.000Z,2023-11-08T04:05:00.000Z
1571,Tethys,tethys,1,0,0,2022-04-06T22:30:00.000Z,2023-11-08T04:05:00.000Z
1572,MM Finance (Cronos),mm-finance,1,0,1,2022-03-30T13:35:00.000Z,2023-11-08T04:05:00.000Z
1573,DefySwap,defyswap,1,0,0,2022-04-27T17:55:00.000Z,2023-11-08T04:05:00.000Z
1577,Spartan Protocol,spartan-protocol,1,0,0,2022-04-21T13:35:00.000Z,2023-11-08T04:05:00.000Z
1578,Glide Finance,glide-finance,1,0,0,2022-04-07T10:30:00.000Z,2023-11-08T04:05:00.000Z
1579,MuesliSwap,muesliswap-dex,1,0,0,2022-04-12T07:30:00.000Z,2023-11-08T04:05:00.000Z
1580,Saber DEX,saber-dex,1,0,1,2022-06-12T16:35:00.000Z,2023-11-08T04:05:00.000Z
1581,StellaSwap,stellaswap,1,0,0,2022-03-17T07:50:00.000Z,2023-11-08T04:05:00.000Z
1582,Dark Knight,dark-knight,1,0,1,2022-03-28T01:35:00.000Z,2023-11-08T04:05:00.000Z
1584,KnightSwap,knightswap,1,0,1,2022-03-21T16:50:00.000Z,2023-11-08T04:05:00.000Z
1585,ZigZag (zkSync Lite),zigzag,1,0,0,2022-06-23T11:05:00.000Z,2023-11-08T04:05:00.000Z
1590,Hakuswap,hakuswap,1,0,0,2022-04-29T20:05:00.000Z,2023-11-08T04:05:00.000Z
1591,Hebeswap,hebeswap,1,0,0,2022-10-17T07:10:00.000Z,2023-06-11T17:10:00.000Z
1594,WigoSwap,wigoswap,1,0,0,2022-03-14T04:45:00.000Z,2023-11-08T04:05:00.000Z
1595,Zappy,zappy,1,0,0,2022-03-24T10:35:00.000Z,2023-11-08T04:05:00.000Z
1599,ClaimSwap,claimswap,1,0,0,2022-03-28T04:30:00.000Z,2023-11-08T04:05:00.000Z
1600,OKCoin Japan,okcoin-japan,1,0,0,2022-03-11T15:05:00.000Z,2023-11-08T04:05:00.000Z
1601,Bullish,bullish,1,0,1,2022-05-07T05:05:00.000Z,2023-11-08T04:05:00.000Z
1602,Lizard,lizard,1,0,1,2023-02-21T09:30:00.000Z,2023-11-08T04:05:00.000Z
1603,YuzuSwap,yuzuswap,1,0,0,2022-03-20T04:55:00.000Z,2023-11-08T04:05:00.000Z
1604,Wannaswap,wannaswap,1,0,0,2022-08-09T10:35:00.000Z,2023-11-08T04:05:00.000Z
1605,Excalibur,excalibur,1,0,1,2022-03-22T04:50:00.000Z,2023-11-08T04:05:00.000Z
1606,Solidly,solidly,1,0,0,2022-03-29T04:35:00.000Z,2023-11-08T04:05:00.000Z
1609,BeamSwap,beamswap,1,0,0,2022-03-17T07:50:00.000Z,2023-11-08T04:05:00.000Z
1610,Trisolaris,trisolaris,1,0,1,2022-03-22T22:35:00.000Z,2023-11-08T04:05:00.000Z
1612,Jupiter,jupiter,1,0,0,2022-06-19T13:10:00.000Z,2023-11-08T04:05:00.000Z
1613,Greenhouse,greenhouse,1,0,0,2022-03-28T04:40:00.000Z,2023-11-08T04:05:00.000Z
1614,Astroport,astroport,1,0,0,2022-04-07T11:25:00.000Z,2023-11-08T04:05:00.000Z
1616,IslandSwap,islandswap,1,0,0,2022-04-07T04:30:00.000Z,2023-11-08T04:05:00.000Z
1617,Elk Finance (OKExChain),elk-finance-okexchain,1,0,0,2022-04-07T05:05:00.000Z,2023-11-08T04:05:00.000Z
1618,Elk Finance (Elastos),elk-finance-elastos,1,0,0,2022-04-07T11:05:00.000Z,2023-11-08T04:05:00.000Z
1621,Elk Finance (Fuse),elk-finance-fuse,1,0,0,2022-04-05T18:50:00.000Z,2023-11-08T04:05:00.000Z
